period,responder_id,response_type,gor_code,enterprise_ref,enterprise_name,land_or_marine,data_0,data_1,data_2,data_3,sum_1,sum_2
201812,10000000001,2,XX,6277453174,Tundra Enterprises,L,0,0,0,0,0,0
201812,10000000002,2,ED,6277453174,Tundra Enterprises,L,259,203,186,321,462,-135
201812,10000000003,2,GG,6277453174,Tundra Enterprises,L,0,0,0,0,0,0
201812,10000000004,2,BB,9857281657,Cryptic Sports,L,732,0,134,75,732,59
201812,10000000005,2,GG,9857281657,Cryptic Sports,L,510,0,197,50,510,147
201812,10000000006,2,GG,9857281657,Cryptic Sports,L,0,0,0,0,0,0
201812,10000000007,2,FE,9857281657,Cryptic Sports,L,172,481,47,435,653,-388
201812,10000000008,2,GF,9814653782,Stardust Limited,L,0,0,0,0,0,0
201812,10000000009,1,FE,9814653782,Stardust Limited,L,0,0,0,0,0,0
201812,10000000010,2,WW,9814653782,Stardust Limited,L,0,0,0,0,0,0
201812,10000000011,2,GF,9814653782,Stardust Limited,L,0,173,0,161,173,-161
201812,10000000012,2,BB,1644968093,Hummingbirdustries,L,0,349,0,30,349,-30
201812,10000000013,1,WW,1644968093,Hummingbirdustries,L,0,0,0,0,0,0
201812,10000000014,2,CB,1644968093,Hummingbirdustries,L,0,0,0,0,0,0
201812,10000000015,2,WW,1644968093,Hummingbirdustries,L,633,0,548,42,633,506
201812,10000000016,1,GG,6749306918,Typhoonavigations,L,0,0,0,0,0,0
201812,10000000017,1,WW,6749306918,Typhoonavigations,L,0,0,0,0,0,0
201812,10000000018,1,GF,6749306918,Typhoonavigations,L,0,0,0,0,0,0
201812,10000000019,2,XX,6749306918,Typhoonavigations,L,0,781,0,630,781,-630
201812,10000000020,1,KJ,3879921682,Robinetworks,L,0,0,0,0,0,0
201812,10000000021,1,KJ,3510832378,Midnightelligence,L,0,0,0,0,0,0
201812,10000000022,2,KJ,3510832378,Midnightelligence,L,0,566,0,543,566,-543
201812,10000000023,1,DC,3510832378,Midnightelligence,L,0,0,0,0,0,0
201812,10000000024,2,CB,3730635423,Dinostar,L,306,0,226,3,306,223
201812,10000000025,2,WW,3730635423,Dinostar,L,0,0,0,0,0,0
201812,10000000026,2,ED,2976969813,Granitepaw,L,0,0,0,0,0,0
201812,10000000027,2,JG,8715352873,Nimblewheels,L,0,0,0,0,0,0
201812,10000000028,1,FE,8715352873,Nimblewheels,L,0,0,0,0,0,0
201812,10000000029,1,ED,8715352873,Nimblewheels,L,0,0,0,0,0,0
201903,10000000001,2,XX,6277453174,Tundra Enterprises,L,502,694,94,128,1196,-34
201903,10000000002,1,ED,6277453174,Tundra Enterprises,L,0,0,0,0,0,0
201903,10000000003,1,GG,6277453174,Tundra Enterprises,L,0,0,0,0,0,0
201903,10000000004,2,BB,9857281657,Cryptic Sports,L,0,0,0,0,0,0
201903,10000000005,1,GG,9857281657,Cryptic Sports,L,0,0,0,0,0,0
201903,10000000006,1,GG,9857281657,Cryptic Sports,L,0,0,0,0,0,0
201903,10000000007,1,FE,9857281657,Cryptic Sports,L,0,0,0,0,0,0
201903,10000000008,2,GF,9814653782,Stardust Limited,L,0,206,0,193,206,-193
201903,10000000009,2,FE,9814653782,Stardust Limited,L,241,733,0,196,974,-196
201903,10000000010,2,WW,9814653782,Stardust Limited,L,0,727,0,157,727,-157
201903,10000000011,2,GF,9814653782,Stardust Limited,L,309,0,2,0,309,2
201903,10000000012,1,BB,1644968093,Hummingbirdustries,L,0,0,0,0,0,0
201903,10000000013,1,WW,1644968093,Hummingbirdustries,L,0,0,0,0,0,0
201903,10000000014,2,CB,1644968093,Hummingbirdustries,L,682,0,96,51,682,45
201903,10000000015,2,WW,1644968093,Hummingbirdustries,L,0,484,0,347,484,-347
201903,10000000016,2,GG,6749306918,Typhoonavigations,L,970,0,962,102,970,860
201903,10000000017,1,WW,6749306918,Typhoonavigations,L,0,0,0,0,0,0
201903,10000000018,1,GF,6749306918,Typhoonavigations,L,0,0,0,0,0,0
201903,10000000019,2,XX,6749306918,Typhoonavigations,L,0,0,0,0,0,0
201903,10000000020,2,KJ,3879921682,Robinetworks,L,272,276,0,52,548,-52
201903,10000000021,1,KJ,3510832378,Midnightelligence,L,0,0,0,0,0,0
201903,10000000022,1,KJ,3510832378,Midnightelligence,L,0,0,0,0,0,0
201903,10000000023,2,DC,3510832378,Midnightelligence,L,0,0,0,0,0,0
201903,10000000024,1,CB,3730635423,Dinostar,L,0,0,0,0,0,0
201903,10000000025,1,WW,3730635423,Dinostar,L,0,0,0,0,0,0
201903,10000000026,1,ED,2976969813,Granitepaw,L,0,0,0,0,0,0
201903,10000000027,1,JG,8715352873,Nimblewheels,L,0,0,0,0,0,0
201903,10000000028,2,FE,8715352873,Nimblewheels,L,0,0,0,0,0,0
201903,10000000029,1,ED,8715352873,Nimblewheels,L,0,0,0,0,0,0
